Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,altitude,pressure,temperature,PAD,Packet (hex)
521,OK,1357868729,43690,170,5,6,0,0,83408000045,8155271873,1357868729,3435973836,1371.29248046875,85902,17.440000534057617,2147483647,5c69ab448e4f01001f858b41ffffff7faaaaaa05060000002d14816b13000000c19217e601000000b96eef50cccccccc
527,OK,3779563408,43690,170,5,6,0,0,83408999932,8156271760,3779563408,3435973836,1371.29248046875,85904,17.43000030517578,2147483647,5c69ab44904f0100a4708b41ffffff7faaaaaa0506000000fc55906b1300000090d426e601000000908f47e1cccccccc
533,OK,4136434933,43690,170,5,6,0,0,83410000919,8157272747,4136434933,3435973836,1370.81689453125,85905,17.43000030517578,2147483647,245aab44914f0100a4708b41ffffff7faaaaaa0506000000179c9f6b13000000ab1a36e601000000f5fc8cf6cccccccc
539,OK,3250085081,43690,170,5,6,0,0,83411001845,8158273673,3250085081,3435973836,1371.3875732421875,85905,17.43000030517578,2147483647,676cab44914f0100a4708b41ffffff7faaaaaa0506000000f5e1ae6b13000000896045e601000000d95cb8c1cccccccc
545,OK,1804077962,43690,170,5,6,0,0,83412003946,8159275774,1804077962,3435973836,1371.29248046875,85904,17.440000534057617,2147483647,5c69ab44904f01001f858b41ffffff7faaaaaa05060000006a2cbe6b13000000feaa54e6010000008a0b886bcccccccc
551,OK,3124461282,43690,170,5,6,0,0,83413003843,8160275671,3124461282,3435973836,1371.1973876953125,85906,17.420000076293945,2147483647,5166ab44924f0100295c8b41ffffff7faaaaaa0506000000436ecd6b13000000d7ec63e601000000e27e3bbacccccccc
557,OK,1871423434,43690,170,5,6,0,0,83414004830,8161276658,1871423434,3435973836,1371.3875732421875,85902,17.399999618530273,2147483647,676cab448e4f010033338b41ffffff7faaaaaa05060000005eb4dc6b13000000f23273e601000000caa78b6fcccccccc
563,OK,2187291459,43690,170,5,6,0,0,83415005843,8162277671,2187291459,3435973836,1371.3875732421875,85906,17.399999618530273,2147483647,676cab44924f010033338b41ffffff7faaaaaa050600000093faeb6b13000000277982e601000000436b5f82cccccccc
569,OK,1618987988,43690,170,5,6,0,0,83416008127,8163279955,1618987988,3435973836,1371.102294921875,85904,17.40999984741211,2147483647,4663ab44904f0100ae478b41ffffff7faaaaaa0506000000bf45fb6b1300000053c491e601000000d4cb7f60cccccccc
575,OK,3484102128,43690,170,5,6,0,0,83417007832,8164279660,3484102128,3435973836,1371.1973876953125,85901,17.420000076293945,2147483647,5166ab448d4f0100295c8b41ffffff7faaaaaa0506000000d8860a6c130000006c05a1e601000000f02dabcfcccccccc
581,OK,921279260,43690,170,5,6,0,0,83418008931,8165280759,921279260,3435973836,1371.102294921875,85906,17.43000030517578,2147483647,4663ab44924f0100a4708b41ffffff7faaaaaa050600000063cd196c13000000f74bb0e6010000001c9be936cccccccc
587,OK,3857143941,43690,170,5,6,0,0,83419009833,8166281661,3857143941,3435973836,1371.102294921875,85908,17.43000030517578,2147483647,4663ab44944f0100a4708b41ffffff7faaaaaa05060000002913296c13000000bd91bfe6010000008558e7e5cccccccc
593,OK,1241039204,43690,170,5,6,0,0,83420012125,8167283953,1241039204,3435973836,1371.102294921875,85910,17.43000030517578,2147483647,4663ab44964f0100a4708b41ffffff7faaaaaa05060000005d5e386c13000000f1dccee60100000064c1f849cccccccc
599,OK,86775206,43690,170,5,6,0,0,83421011909,8168283737,86775206,3435973836,1370.6265869140625,85905,17.440000534057617,2147483647,0d54ab44914f01001f858b41ffffff7faaaaaa0506000000c59f476c13000000591edee601000000a6152c05cccccccc
