Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
556,OK,3503794972,43690,170,5,3,127,4096,83414003738,8161275566,3503794972,3435973836,-2,0,18,4096,feff000012000010aaaaaa05037f00101ab0dc6b13000000ae2e73e6010000001cabd7d0cccccccc
562,OK,1138010954,43690,170,5,3,127,4096,83415004752,8162276580,1138010954,3435973836,2,0,16,4096,0200000010000010aaaaaa05037f001050f6eb6b13000000e47482e6010000004aabd443cccccccc
568,OK,2951994018,43690,170,5,3,127,4096,83416007035,8163278863,2951994018,3435973836,0,-6,20,4096,0000faff14000010aaaaaa05037f00107b41fb6b130000000fc091e601000000a2daf3afcccccccc
574,OK,4130836362,43690,170,5,3,127,4096,83417006741,8164278569,4130836362,3435973836,2,0,16,4096,0200000010000010aaaaaa05037f001095820a6c130000002901a1e6010000008a8f37f6cccccccc
580,OK,1106073420,43690,170,5,3,127,4096,83418007841,8165279669,1106073420,3435973836,4,0,6,4096,0400000006000010aaaaaa05037f001021c9196c13000000b547b0e6010000004c57ed41cccccccc
586,OK,2559333486,43690,170,5,3,127,4096,83419008740,8166280568,2559333486,3435973836,4,0,18,4096,0400000012000010aaaaaa05037f0010e40e296c13000000788dbfe6010000006e548c98cccccccc
592,OK,4042325117,43690,170,5,3,127,4096,83420011032,8167282861,4042325117,3435973836,2,0,20,4096,0200000014000010aaaaaa05037f0010185a386c13000000add8cee6010000007dfcf0f0cccccccc
598,OK,929099390,43690,170,5,3,127,4096,83421010817,8168282645,929099390,3435973836,-2,4,20,4096,feff040014000010aaaaaa05037f0010819b476c13000000151adee6010000007eee6037cccccccc
604,OK,4070760775,43690,170,5,3,127,4096,83422011761,8169283589,4070760775,3435973836,2,0,12,4096,020000000c000010aaaaaa05037f001071e1566c130000000560ede60100000047e1a2f2cccccccc
610,OK,284860901,43690,170,5,3,127,4096,83423012833,8170284661,284860901,3435973836,-2,0,18,4096,feff000012000010aaaaaa05037f0010e127666c1300000075a6fce601000000e5a1fa10cccccccc
616,OK,1157057169,43690,170,5,3,127,4096,83424014934,8171286763,1157057169,3435973836,6,0,14,4096,060000000e000010aaaaaa05037f00105672756c13000000ebf00be701000000914af744cccccccc
622,OK,49411115,43690,170,5,3,127,4096,83425014841,8172286669,49411115,3435973836,-2,8,14,4096,feff08000e000010aaaaaa05037f001039b4846c13000000cd321be7010000002bf4f102cccccccc
628,OK,2522562171,43690,170,5,3,127,4096,83426015818,8173287647,2522562171,3435973836,2,4,16,4096,0200040010000010aaaaaa05037f00104afa936c13000000df782ae7010000007b3e5b96cccccccc
634,OK,3784104206,43690,170,5,3,127,4096,83427016832,8174288660,3784104206,3435973836,2,-4,18,4096,0200fcff12000010aaaaaa05037f00108040a36c1300000014bf39e7010000000ed98ce1cccccccc
640,OK,4008409310,43690,170,5,3,127,4096,83428018750,8175290578,4008409310,3435973836,0,0,10,4096,000000000a000010aaaaaa05037f00103e8ab26c13000000d20849e701000000de78ebeecccccccc
646,OK,1728966960,43690,170,5,3,127,4096,83429018743,8176290571,1728966960,3435973836,-2,0,16,4096,feff000010000010aaaaaa05037f001077ccc16c130000000b4b58e70100000030f10d67cccccccc
652,OK,4040611164,43690,170,5,3,127,4096,83430019825,8177291653,4040611164,3435973836,2,4,14,4096,020004000e000010aaaaaa05037f0010f112d16c13000000859167e7010000005cd5d6f0cccccccc
658,OK,571497856,43690,170,5,3,127,4096,83431021045,8178292874,571497856,3435973836,2,0,20,4096,0200000014000010aaaaaa05037f0010f559e06c130000008ad876e701000000805d1022cccccccc
664,OK,2961672172,43690,170,5,3,127,4096,83432022861,8179294689,2961672172,3435973836,4,0,14,4096,040000000e000010aaaaaa05037f00104da3ef6c13000000e12186e701000000ec8787b0cccccccc
670,OK,2379253053,43690,170,5,3,127,4096,83433022923,8180294751,2379253053,3435973836,0,0,14,4096,000000000e000010aaaaaa05037f0010cbe5fe6c130000005f6495e7010000003d85d08dcccccccc
