Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,
86724,OK,4266288257,43690,170,12,5,0,0,67071920049,80313346,4266288257,3435973836,35.3583876,-117.8077686,11407460,-6469,49825,49430,725,2021,4,10,18,5,44,23,3,0,0,0,
87053,OK,4008748423,43690,170,12,5,0,0,67072952998,81346296,4008748423,3435973836,35.3583293,-117.807238,11357386,-6414,46672,49224,735,2021,4,10,18,5,45,22,3,0,0,0,
87379,OK,3211330698,43690,170,12,5,0,0,67073978996,82372293,3211330698,3435973836,35.3582746,-117.8067363,11309329,-6218,44614,46984,741,2021,4,10,18,5,46,23,3,0,0,0,
87703,OK,2340166795,43690,170,12,5,0,0,67075007468,83400765,2340166795,3435973836,35.3582273,-117.8062291,11262269,-4129,47915,47724,759,2021,4,10,18,5,47,22,3,0,0,0,
88025,OK,1111596978,43690,170,12,5,0,0,67076032391,84425688,1111596978,3435973836,35.3581713,-117.8057019,11215619,-8235,47903,46070,742,2021,4,10,18,5,48,24,3,0,0,0,
88345,OK,692694563,43690,170,12,5,0,0,67077057420,85450717,692694563,3435973836,35.358085,-117.8051694,11168543,-10315,48694,49905,736,2021,4,10,18,5,49,24,3,0,0,0,
88672,OK,1898267675,43690,170,12,5,0,0,67078084864,86478161,1898267675,3435973836,35.3580003,-117.8046333,11120934,-8703,48779,45884,733,2021,4,10,18,5,50,26,3,0,0,0,
88999,OK,1734571153,43690,170,12,5,0,0,67079115179,87508476,1734571153,3435973836,35.3579185,-117.804099,11073185,-9624,48453,49321,734,2021,4,10,18,5,51,24,3,0,0,0,
89327,OK,506992689,43690,170,12,5,0,0,67080145944,88539241,506992689,3435973836,35.357829,-117.8035671,11025236,-10257,48311,46458,744,2021,4,10,18,5,52,23,3,0,0,0,
89658,OK,507543899,43690,170,12,5,0,0,67081183185,89576482,507543899,3435973836,35.3577372,-117.8030522,10978889,-9849,45330,46234,734,2021,4,10,18,5,53,24,3,0,0,0,
