pwr_ctr,az
4.8392,287.14
4.8401,287.16
4.8409,287.17
4.8417,287.19
4.8425,287.2
4.8434,287.23
4.8445,287.26
4.846,287.3
4.8476,287.32
4.8491,287.35
4.8507,287.36
4.8516,287.38
4.8524,287.4
4.8533,287.42
4.8542,287.44
4.855,287.45
4.8559,287.47
4.8567,287.48
4.8575,287.5
4.8583,287.52
4.8592,287.54
4.8605,287.57
4.8618,287.58
4.8627,287.61
4.8637,287.64
4.8653,287.68
4.8672,287.7
4.8682,287.71
4.8692,287.73
4.8702,287.76
4.8716,287.8
4.8732,287.81
4.8741,287.83
4.875,287.84
4.8759,287.87
4.8767,287.88
4.8776,287.9
4.8784,287.91
4.8792,287.93
4.8801,287.94
4.8809,287.96
4.8819,287.99
4.883,288.02
4.8844,288.04
4.8857,288.06
4.8866,288.08
4.8876,288.11
4.8894,288.16
4.8914,288.17
4.8923,288.19
4.8933,288.21
4.8943,288.23
4.8952,288.24
4.896,288.26
4.8969,288.28
4.898,288.31
4.8994,288.34
4.9009,288.36
4.9019,288.38
4.9028,288.4
4.9038,288.42
4.9047,288.44
4.906,288.47
4.9075,288.49
4.9085,288.51
4.9095,288.53
4.9105,288.55
4.9113,288.56
4.9121,288.58
4.9129,288.6
4.9139,288.62
4.9149,288.63
4.9162,288.72
4.9208,288.76
4.9222,288.76
4.9238,288.8
4.9256,288.84
4.9274,288.87
4.9289,288.9
4.9306,288.93
4.9322,288.96
4.9337,288.99
4.9352,289.01
4.9362,289.04
4.9375,289.07
4.9385,289.09
4.9395,289.09
4.9403,289.11
4.9411,289.13
4.9419,289.15
4.9427,289.16
4.9436,289.18
4.9447,289.21
4.9459,289.23
4.9468,289.24
4.9476,289.26
4.9484,289.27
4.9492,289.3
4.9504,289.32
4.9518,289.35
4.9533,289.37
4.9547,289.4
4.9561,289.43
4.9576,289.47
4.9584,289.49
4.9595,289.5
4.9604,289.5
4.9612,289.52
4.962,289.55
4.9631,289.57
4.9643,289.61
4.9659,289.63
4.9669,289.64
4.9677,289.66
4.9685,289.67
4.9693,289.69
4.9701,289.72
4.9713,289.72
4.9719,289.74
4.973,289.77
4.9737,289.78
4.9745,289.8
4.9754,289.8
4.976,289.84
4.9783,289.87
4.9795,289.91
4.9804,289.92
4.9814,289.94
4.9823,289.95
4.9831,289.97
4.9839,289.98
4.9847,290
4.9855,290.01
4.9862,290.03
4.987,290.04
4.9878,290.07
4.9889,290.07
4.9895,290.08
4.9904,290.12
4.9914,290.13
4.9921,290.14
4.9928,290.16
4.9936,290.18
4.9943,290.19
4.9951,290.21
4.996,290.22
4.9968,290.25
4.998,290.28
4.9993,290.31
5.0006,290.31
5.0014,290.32
5.0021,290.34
5.003,290.37
5.004,290.38
5.0049,290.41
5.0062,290.45
5.0077,290.47
5.0085,290.47
5.0093,290.49
5.0103,290.53
5.0112,290.53
5.0121,290.57
5.014,290.61
5.0156,290.61
5.0163,290.63
5.0175,290.66
5.0186,290.67
5.0195,290.69
5.0203,290.71
